cited_paper_id_citing_paper_id,cited_paper_id,citing_paper_id,add_numerical
35_887,35,887,922
35_1033,35,1033,1068
35_1688,35,1688,1723
35_1956,35,1956,1991
35_8865,35,8865,8900
35_12576,35,12576,12611
35_15670,35,15670,15705
35_18582,35,18582,18617
35_27510,35,27510,27545
35_28290,35,28290,28325
35_28851,35,28851,28886
35_33904,35,33904,33939
35_33907,35,33907,33942
35_35061,35,35061,35096
35_38205,35,38205,38240
35_41714,35,41714,41749
35_44368,35,44368,44403
35_45599,35,45599,45634
35_46079,35,46079,46114
35_46431,35,46431,46466
35_48766,35,48766,48801
35_54129,35,54129,54164
35_54131,35,54131,54166
35_56119,35,56119,56154
35_66556,35,66556,66591
35_66563,35,66563,66598
35_66805,35,66805,66840
35_69284,35,69284,69319
35_69296,35,69296,69331
35_78511,35,78511,78546
35_81722,35,81722,81757
35_82098,35,82098,82133
35_84021,35,84021,84056
35_85352,35,85352,85387
35_86359,35,86359,86394
35_97645,35,97645,97680
35_98698,35,98698,98733
35_103482,35,103482,103517
35_103515,35,103515,103550
35_116552,35,116552,116587
35_128540,35,128540,128575
35_132806,35,132806,132841
35_135130,35,135130,135165
35_141342,35,141342,141377
35_141347,35,141347,141382
35_148170,35,148170,148205
35_175291,35,175291,175326
35_178727,35,178727,178762
35_190697,35,190697,190732
35_190706,35,190706,190741
35_197054,35,197054,197089
35_198443,35,198443,198478
35_198653,35,198653,198688
35_206371,35,206371,206406
35_210871,35,210871,210906
35_229635,35,229635,229670
35_231249,35,231249,231284
35_248425,35,248425,248460
35_249421,35,249421,249456
35_254923,35,254923,254958
35_259701,35,259701,259736
35_259702,35,259702,259737
35_263279,35,263279,263314
35_263498,35,263498,263533
35_265203,35,265203,265238
35_273152,35,273152,273187
35_286500,35,286500,286535
35_287787,35,287787,287822
35_289779,35,289779,289814
35_289780,35,289780,289815
35_289781,35,289781,289816
35_307015,35,307015,307050
35_335733,35,335733,335768
35_387795,35,387795,387830
35_415693,35,415693,415728
35_427606,35,427606,427641
35_486840,35,486840,486875
35_503883,35,503883,503918
35_503893,35,503893,503928
35_513189,35,513189,513224
35_561238,35,561238,561273
35_568857,35,568857,568892
35_573964,35,573964,573999
35_573978,35,573978,574013
35_574009,35,574009,574044
35_574264,35,574264,574299
35_574462,35,574462,574497
35_575077,35,575077,575112
35_575292,35,575292,575327
35_575331,35,575331,575366
35_576725,35,576725,576760
35_576795,35,576795,576830
35_577227,35,577227,577262
35_578780,35,578780,578815
35_579008,35,579008,579043
35_592973,35,592973,593008
35_593091,35,593091,593126
35_593105,35,593105,593140
35_593240,35,593240,593275
35_593260,35,593260,593295
35_593813,35,593813,593848
35_594047,35,594047,594082
35_594543,35,594543,594578
35_594649,35,594649,594684
35_594900,35,594900,594935
35_608326,35,608326,608361
35_634902,35,634902,634937
35_634904,35,634904,634939
35_634938,35,634938,634973
35_634975,35,634975,635010
35_640617,35,640617,640652
35_646809,35,646809,646844
35_646837,35,646837,646872
35_647408,35,647408,647443
35_647447,35,647447,647482
35_694759,35,694759,694794
35_735303,35,735303,735338
35_787016,35,787016,787051
35_801170,35,801170,801205
35_1050679,35,1050679,1050714
35_1103960,35,1103960,1103995
35_1103985,35,1103985,1104020
35_1109199,35,1109199,1109234
35_1112911,35,1112911,1112946
35_1113438,35,1113438,1113473
35_1113831,35,1113831,1113866
35_1114331,35,1114331,1114366
35_1117476,35,1117476,1117511
35_1119505,35,1119505,1119540
35_1119708,35,1119708,1119743
35_1120431,35,1120431,1120466
35_1123756,35,1123756,1123791
35_1125386,35,1125386,1125421
35_1127430,35,1127430,1127465
35_1127913,35,1127913,1127948
35_1128204,35,1128204,1128239
35_1128227,35,1128227,1128262
35_1128314,35,1128314,1128349
35_1128453,35,1128453,1128488
35_1128945,35,1128945,1128980
35_1128959,35,1128959,1128994
35_1128985,35,1128985,1129020
35_1129018,35,1129018,1129053
35_1129027,35,1129027,1129062
35_1129573,35,1129573,1129608
35_1129683,35,1129683,1129718
35_1129778,35,1129778,1129813
35_1130847,35,1130847,1130882
35_1130856,35,1130856,1130891
35_1131116,35,1131116,1131151
35_1131360,35,1131360,1131395
35_1131557,35,1131557,1131592
35_1131752,35,1131752,1131787
35_1133196,35,1133196,1133231
35_1133338,35,1133338,1133373
35_1136814,35,1136814,1136849
35_1137466,35,1137466,1137501
35_1152421,35,1152421,1152456
35_1152508,35,1152508,1152543
35_1153065,35,1153065,1153100
35_1153280,35,1153280,1153315
35_1153577,35,1153577,1153612
35_1153853,35,1153853,1153888
35_1153943,35,1153943,1153978
35_1154176,35,1154176,1154211
35_1154459,35,1154459,1154494
40_116552,40,116552,116592
40_1109017,40,1109017,1109057
40_1114442,40,1114442,1114482
114_128,114,128,242
114_130,114,130,244
114_434,114,434,548
114_6155,114,6155,6269
114_6170,114,6170,6284
114_6196,114,6196,6310
114_6220,114,6220,6334
114_7432,114,7432,7546
114_8213,114,8213,8327
114_23258,114,23258,23372
114_28227,114,28227,28341
114_28287,114,28287,28401
114_28350,114,28350,28464
114_28387,114,28387,28501
114_28471,114,28471,28585
114_28485,114,28485,28599
114_38480,114,38480,38594
114_39403,114,39403,39517
114_55968,114,55968,56082
114_58540,114,58540,58654
114_64484,114,64484,64598
114_91975,114,91975,92089
114_124064,114,124064,124178
114_136665,114,136665,136779
114_191404,114,191404,191518
114_193742,114,193742,193856
114_341188,114,341188,341302
114_755217,114,755217,755331
114_976334,114,976334,976448
114_1103315,114,1103315,1103429
114_1105394,114,1105394,1105508
114_1106112,114,1106112,1106226
114_1106172,114,1106172,1106286
114_1106406,114,1106406,1106520
114_1107455,114,1107455,1107569
114_1111052,114,1111052,1111166
114_1114125,114,1114125,1114239
114_1117942,114,1117942,1118056
114_1118245,114,1118245,1118359
114_1118332,114,1118332,1118446
114_1120170,114,1120170,1120284
114_1126029,114,1126029,1126143
117_6170,117,6170,6287
117_6214,117,6214,6331
