word_cited_id,add_numerical,paper_id_word_cited_id,paper_id
word456,79817,0,267.0
word1263,353541,1,269.0
word925,1120019,2,269.0
word1124,1139009,3,269.0
word1266,1116044,4,267.0
word923,1110531,5,269.0
word764,1109830,6,269.0
word508,1121398,7,268.0
word1178,1125402,8,267.0
word129,239800,9,255.0
word59,51052,10,267.0
word418,899085,11,244.0
word531,1110209,12,267.0
word736,66751,13,255.0
word45,151708,14,269.0
word1131,28249,15,257.0
word23,259701,16,268.0
word475,20924,17,267.0
word1263,212930,18,269.0
word180,2663,19,269.0
word1178,18619,20,255.0
word1430,63832,21,268.0
word764,1153150,22,244.0
word764,10796,23,256.0
word1095,31483,24,267.0
word912,110162,25,256.0
word95,1136310,26,267.0
word1254,27627,27,255.0
word100,1138755,28,266.0
word1232,31083,29,255.0
word188,17821,30,257.0
word594,470511,31,256.0
word1231,62607,32,244.0
word133,340075,33,266.0
word886,976284,34,255.0
word940,101263,35,255.0
word356,1104031,36,256.0
word778,1959,37,256.0
word1264,17476,38,257.0
word1382,1136634,39,255.0
word496,220420,40,268.0
word1210,63832,41,268.0
word86,45533,42,266.0
word359,63477,43,256.0
word795,84020,44,267.0
word940,91975,45,257.0
word404,115188,46,266.0
word1387,582511,47,255.0
word496,40,48,268.0
word619,645897,49,267.0
word334,634938,50,268.0
word206,46536,51,266.0
word861,684986,52,266.0
word447,578347,53,266.0
word873,59772,54,266.0
word285,18833,55,257.0
word465,1152761,56,268.0
word946,40583,57,267.0
word163,6898,58,266.0
word912,593329,59,268.0
word192,1955,60,256.0
word1398,48075,61,244.0
word289,50354,62,266.0
word106,1128453,63,268.0
word1178,574009,64,268.0
word1316,97377,65,255.0
word1098,77438,66,267.0
word616,8961,67,257.0
word508,644843,68,267.0
word687,38846,69,256.0
word1152,96847,70,268.0
word564,103543,71,267.0
word1201,30895,72,255.0
word1349,92065,73,266.0
word1264,22431,74,244.0
word1337,11337,75,255.0
word822,645870,76,267.0
word875,65653,77,255.0
word337,6818,78,267.0
word1213,1114442,79,268.0
word20,1111230,80,257.0
word473,77758,81,266.0
word800,617378,82,266.0
word402,1034,83,268.0
word1369,2698,84,266.0
word699,32688,85,266.0
word855,1135899,86,266.0
word1059,129045,87,256.0
word1398,212107,88,267.0
word1361,1115456,89,266.0
word396,144212,90,268.0
word1092,12182,91,255.0
word3,1116347,92,257.0
word1076,42156,93,266.0
word1264,82666,94,256.0
word817,6343,95,256.0
word591,1119178,96,256.0
word27,562067,97,267.0
word386,1129040,98,268.0
word1281,1119004,99,266.0
word1175,47839,100,257.0
word782,486840,101,268.0
word1055,561582,102,267.0
word982,594483,103,268.0
word66,17201,104,257.0
word874,1131549,105,268.0
word394,13686,106,266.0
word1061,18834,107,257.0
word755,1152075,108,255.0
word136,1135750,109,266.0
word1028,1132486,110,266.0
word263,1130080,111,266.0
word40,1117089,112,257.0
word1178,1123867,113,255.0
word20,33231,114,267.0
word620,1104999,115,261.0
word860,75693,116,257.0
word508,20584,117,266.0
word1124,1952,118,256.0
word576,24974,119,265.0
word1360,38845,120,256.0
word1178,1102550,121,261.0
word508,593201,122,261.0
word465,1152761,123,261.0
word1020,628815,124,257.0
word251,15892,125,256.0
word1318,753047,126,255.0
