id_sentence_id_term,id_sentence,id_term,term
1_1,1,1,john
1_2,1,2,paints
2_1,2,1,annie
2_2,2,2,paints
3_1,3,1,monet
3_2,3,2,paints
4_1,4,1,every
4_2,4,2,man
4_3,4,3,paints
5_1,5,1,every
5_2,5,2,woman
5_3,5,3,paints
6_1,6,1,a
6_2,6,2,man
6_3,6,3,paints
7_1,7,1,a
7_2,7,2,woman
7_3,7,3,paints
8_1,8,1,john
8_2,8,2,likes
8_3,8,3,john
9_1,9,1,john
9_2,9,2,likes
9_3,9,3,annie
10_1,10,1,john
10_2,10,2,likes
10_3,10,3,monet
11_1,11,1,john
11_2,11,2,admires
11_3,11,3,john
12_1,12,1,john
12_2,12,2,admires
12_3,12,3,annie
13_1,13,1,john
13_2,13,2,admires
13_3,13,3,monet
14_1,14,1,annie
14_2,14,2,likes
14_3,14,3,john
15_1,15,1,annie
15_2,15,2,likes
15_3,15,3,annie
16_1,16,1,annie
16_2,16,2,likes
16_3,16,3,monet
17_1,17,1,annie
17_2,17,2,admires
17_3,17,3,john
18_1,18,1,annie
18_2,18,2,admires
18_3,18,3,annie
19_1,19,1,annie
19_2,19,2,admires
19_3,19,3,monet
20_1,20,1,monet
20_2,20,2,likes
20_3,20,3,john
21_1,21,1,monet
21_2,21,2,likes
21_3,21,3,annie
22_1,22,1,monet
22_2,22,2,likes
22_3,22,3,monet
23_1,23,1,monet
23_2,23,2,admires
23_3,23,3,john
24_1,24,1,monet
24_2,24,2,admires
24_3,24,3,annie
25_1,25,1,monet
25_2,25,2,admires
25_3,25,3,monet
26_1,26,1,every
26_2,26,2,man
26_3,26,3,likes
26_4,26,4,john
27_1,27,1,every
27_2,27,2,man
27_3,27,3,likes
27_4,27,4,annie
28_1,28,1,every
28_2,28,2,man
28_3,28,3,likes
28_4,28,4,monet
29_1,29,1,every
29_2,29,2,man
29_3,29,3,admires
29_4,29,4,john
30_1,30,1,every
30_2,30,2,man
30_3,30,3,admires
30_4,30,4,annie
31_1,31,1,every
31_2,31,2,man
31_3,31,3,admires
31_4,31,4,monet
32_1,32,1,every
32_2,32,2,woman
32_3,32,3,likes
32_4,32,4,john
33_1,33,1,every
33_2,33,2,woman
33_3,33,3,likes
33_4,33,4,annie
34_1,34,1,every
34_2,34,2,woman
34_3,34,3,likes
34_4,34,4,monet
35_1,35,1,every
35_2,35,2,woman
35_3,35,3,admires
35_4,35,4,john
36_1,36,1,every
36_2,36,2,woman
36_3,36,3,admires
36_4,36,4,annie
37_1,37,1,every
37_2,37,2,woman
37_3,37,3,admires
37_4,37,4,monet
38_1,38,1,a
38_2,38,2,man
38_3,38,3,likes
38_4,38,4,john
39_1,39,1,a
39_2,39,2,man
39_3,39,3,likes
39_4,39,4,annie
