movieid_directorid,movieid,directorid,genre
1672111_54934,1672111,54934,Action
1672946_188940,1672946,188940,Action
1679461_179783,1679461,179783,Action
1691387_291700,1691387,291700,Action
1693305_14663,1693305,14663,Action
1698667_98630,1698667,98630,Action
1704645_98630,1704645,98630,Action
1705417_19141,1705417,19141,Action
1706887_221541,1706887,221541,Action
1707277_52953,1707277,52953,Action
1709238_108073,1709238,108073,Action
1711133_260603,1711133,260603,Action
1711175_213822,1711175,213822,Action
1711393_128558,1711393,128558,Action
1711398_256455,1711398,256455,Action
1715380_130253,1715380,130253,Action
1715404_39629,1715404,39629,Action
1715607_172775,1715607,172775,Action
1717455_196811,1717455,196811,Action
1719502_69968,1719502,69968,Action
1722327_56159,1722327,56159,Action
1731582_13745,1731582,13745,Action
1736268_19189,1736268,19189,Action
1736362_158089,1736362,158089,Action
1736794_54543,1736794,54543,Action
1740732_123402,1740732,123402,Action
1740752_70986,1740752,70986,Action
1740811_41939,1740811,41939,Action
1744811_230882,1744811,230882,Action
1745530_4997,1745530,4997,Action
1749891_121794,1749891,121794,Action
1750364_19189,1750364,19189,Action
1750510_135809,1750510,135809,Action
1751872_91117,1751872,91117,Action
1753695_98451,1753695,98451,Action
1754799_119455,1754799,119455,Action
1754884_281227,1754884,281227,Action
1757342_246268,1757342,246268,Action
1757347_37121,1757347,37121,Action
1757367_246268,1757367,246268,Action
1757378_37121,1757378,37121,Action
1757423_5763,1757423,5763,Action
1757423_142542,1757423,142542,Action
1757423_210916,1757423,210916,Action
1757423_222944,1757423,222944,Action
1757423_228607,1757423,228607,Action
1757423_274556,1757423,274556,Action
1757698_155392,1757698,155392,Action
1757893_49086,1757893,49086,Action
1759189_123878,1759189,123878,Action
1763465_300073,1763465,300073,Action
1763653_218785,1763653,218785,Action
1765108_62483,1765108,62483,Action
1765347_228463,1765347,228463,Action
1765652_55590,1765652,55590,Action
1766407_151963,1766407,151963,Action
1766427_73359,1766427,73359,Action
1766849_28945,1766849,28945,Action
1767151_5049,1767151,5049,Action
1769766_101620,1769766,101620,Action
1770285_41939,1770285,41939,Action
1774349_120629,1774349,120629,Action
1776052_200149,1776052,200149,Action
1778536_41759,1778536,41759,Action
1778697_10484,1778697,10484,Action
1778699_180716,1778699,180716,Action
1779176_120788,1779176,120788,Action
1779757_176568,1779757,176568,Action
1780022_151963,1780022,151963,Action
1784206_111350,1784206,111350,Action
1785251_108073,1785251,108073,Action
1786413_200150,1786413,200150,Action
1787090_96982,1787090,96982,Action
1788165_177106,1788165,177106,Action
1790007_298771,1790007,298771,Action
1790523_75298,1790523,75298,Action
1792713_149557,1792713,149557,Action
1793433_68638,1793433,68638,Action
1803115_289841,1803115,289841,Action
1804924_190139,1804924,190139,Action
1804925_297381,1804925,297381,Action
1809984_62087,1809984,62087,Action
1811382_275755,1811382,275755,Action
1816379_131292,1816379,131292,Action
1819870_125482,1819870,125482,Action
1823223_200697,1823223,200697,Action
1823486_111350,1823486,111350,Action
1826286_298471,1826286,298471,Action
1829882_293703,1829882,293703,Action
1830096_184198,1830096,184198,Action
1830497_137425,1830497,137425,Action
1830531_129163,1830531,129163,Action
1831084_172775,1831084,172775,Action
1831363_155392,1831363,155392,Action
1831593_70986,1831593,70986,Action
1832668_253187,1832668,253187,Action
1838160_247289,1838160,247289,Action
1838773_211555,1838773,211555,Action
1842584_111350,1842584,111350,Action
1843756_292753,1843756,292753,Action
1843757_159773,1843757,159773,Action
1848628_70782,1848628,70782,Action
1849156_289841,1849156,289841,Action
1850182_213822,1850182,213822,Action
1854045_51903,1854045,51903,Action
1854166_247289,1854166,247289,Action
1858361_297504,1858361,297504,Action
1858362_155392,1858362,155392,Action
1858363_297504,1858363,297504,Action
1858364_99806,1858364,99806,Action
1859542_111350,1859542,111350,Action
1859617_155280,1859617,155280,Action
1859753_258859,1859753,258859,Action
1861514_31460,1861514,31460,Action
1868890_232620,1868890,232620,Action
1869010_245889,1869010,245889,Action
1870132_172161,1870132,172161,Action
1872662_19608,1872662,19608,Action
1874279_180080,1874279,180080,Action
1874284_111350,1874284,111350,Action
1874295_180080,1874295,180080,Action
1878669_121340,1878669,121340,Action
1878669_300947,1878669,300947,Action
1879793_298771,1879793,298771,Action
1889009_278493,1889009,278493,Action
1890357_302682,1890357,302682,Action
1890829_51903,1890829,51903,Action
1893245_13745,1893245,13745,Action
1895286_165692,1895286,165692,Action
1895298_298646,1895298,298646,Action
1898372_231880,1898372,231880,Action
1906242_124932,1906242,124932,Action
1907821_232620,1907821,232620,Action
1915498_124171,1915498,124171,Action
1915987_247289,1915987,247289,Action
1917129_6523,1917129,6523,Action
1918307_237473,1918307,237473,Action
1919846_41939,1919846,41939,Action
1919853_41939,1919853,41939,Action
1919898_271025,1919898,271025,Action
1924755_31460,1924755,31460,Action
1924959_14380,1924959,14380,Action
1927338_170040,1927338,170040,Action
1927339_88848,1927339,88848,Action
1927950_298771,1927950,298771,Action
1928609_255144,1928609,255144,Action
1932235_182942,1932235,182942,Action
1932393_119790,1932393,119790,Action
1934260_45642,1934260,45642,Action
1939369_78540,1939369,78540,Action
1939762_248492,1939762,248492,Action
1939775_155392,1939775,155392,Action
1939900_146286,1939900,146286,Action
1942083_120629,1942083,120629,Action
1943961_184413,1943961,184413,Action
1945855_98630,1945855,98630,Action
1946327_295352,1946327,295352,Action
1946379_109735,1946379,109735,Action
1950946_192819,1950946,192819,Action
1952847_232620,1952847,232620,Action
1953106_302682,1953106,302682,Action
1955207_274002,1955207,274002,Action
1957184_247236,1957184,247236,Action
1963417_292753,1963417,292753,Action
1964074_137722,1964074,137722,Action
1965261_129113,1965261,129113,Action
1965516_227338,1965516,227338,Action
1966580_275755,1966580,275755,Action
1966583_275755,1966583,275755,Action
1968813_247236,1968813,247236,Action
1971149_78050,1971149,78050,Action
1971707_112712,1971707,112712,Action
1971707_142980,1971707,142980,Action
1971712_203354,1971712,203354,Action
1972287_39944,1972287,39944,Action
1972324_109735,1972324,109735,Action
1972854_108911,1972854,108911,Action
1978309_10177,1978309,10177,Action
1980149_51115,1980149,51115,Action
1982903_258197,1982903,258197,Action
1983617_155535,1983617,155535,Action
1987547_240297,1987547,240297,Action
1987607_298771,1987607,298771,Action
1991646_209654,1991646,209654,Action
1991951_75298,1991951,75298,Action
1992217_170452,1992217,170452,Action
1992335_264169,1992335,264169,Action
1992459_150884,1992459,150884,Action
1994418_117295,1994418,117295,Action
1995121_31499,1995121,31499,Action
1996223_178314,1996223,178314,Action
1998427_78412,1998427,78412,Action
1998427_297918,1998427,297918,Action
1999241_75298,1999241,75298,Action
1999623_191991,1999623,191991,Action
1999628_189093,1999628,189093,Action
1999634_92,1999634,92,Action
2004435_285051,2004435,285051,Action
2005469_101620,2005469,101620,Action
2009281_37587,2009281,37587,Action
2009507_746,2009507,746,Action
2012468_124080,2012468,124080,Action
2013009_302973,2013009,302973,Action
2014240_275755,2014240,275755,Action
2018026_252882,2018026,252882,Action
2019104_32111,2019104,32111,Action
2030427_142160,2030427,142160,Action
2030843_178409,2030843,178409,Action
2032743_213822,2032743,213822,Action
2034166_78050,2034166,78050,Action
2034464_260322,2034464,260322,Action
2034473_260322,2034473,260322,Action
2037451_138597,2037451,138597,Action
2040763_91135,2040763,91135,Action
2040764_91135,2040764,91135,Action
2040765_91135,2040765,91135,Action
2046161_89882,2046161,89882,Action
2048624_6057,2048624,6057,Action
2054459_162891,2054459,162891,Action
2054549_102268,2054549,102268,Action
2056752_40434,2056752,40434,Action
2056849_120788,2056849,120788,Action
2057285_302989,2057285,302989,Action
2068316_124034,2068316,124034,Action
2070468_263287,2070468,263287,Action
2072519_106208,2072519,106208,Action
2073156_120386,2073156,120386,Action
2074015_245889,2074015,245889,Action
2075324_233838,2075324,233838,Action
2075452_278493,2075452,278493,Action
2079616_197327,2079616,197327,Action
2080444_198401,2080444,198401,Action
2082758_205585,2082758,205585,Action
2104410_185309,2104410,185309,Action
2106940_180080,2106940,180080,Action
2107343_117915,2107343,117915,Action
2107847_298771,2107847,298771,Action
2109077_170415,2109077,170415,Action
2124042_234788,2124042,234788,Action
2124042_257600,2124042,257600,Action
2124355_70986,2124355,70986,Action
2124357_70986,2124357,70986,Action
2124358_70986,2124358,70986,Action
2124359_70986,2124359,70986,Action
2125784_98630,2125784,98630,Action
2131729_109735,2131729,109735,Action
2133276_222400,2133276,222400,Action
2133798_7335,2133798,7335,Action
2134027_279661,2134027,279661,Action
2134924_45642,2134924,45642,Action
2134924_278226,2134924,278226,Action
2138727_120788,2138727,120788,Action
2140999_269513,2140999,269513,Action
2148037_184466,2148037,184466,Action
2148039_184466,2148039,184466,Action
2148040_184466,2148040,184466,Action
2148040_202897,2148040,202897,Action
2150224_218785,2150224,218785,Action
2159085_161376,2159085,161376,Action
2162869_70986,2162869,70986,Action
2163340_142138,2163340,142138,Action
2163370_151314,2163370,151314,Action
2164174_260285,2164174,260285,Action
2168282_181508,2168282,181508,Action
2169199_19935,2169199,19935,Action
2170415_196351,2170415,196351,Action
2170555_42738,2170555,42738,Action
2172947_32490,2172947,32490,Action
2173344_280494,2173344,280494,Action
2173361_260285,2173361,260285,Action
2176174_296303,2176174,296303,Action
2177836_305385,2177836,305385,Action
2177839_120635,2177839,120635,Action
2177983_64003,2177983,64003,Action
2177992_298771,2177992,298771,Action
2181898_225247,2181898,225247,Action
2181907_236460,2181907,236460,Action
2183016_156982,2183016,156982,Action
2183675_97356,2183675,97356,Action
2184999_7366,2184999,7366,Action
2185015_157643,2185015,157643,Action
2190354_115803,2190354,115803,Action
2190603_161376,2190603,161376,Action
2195009_24036,2195009,24036,Action
2196039_280968,2196039,280968,Action
2199969_247850,2199969,247850,Action
2210356_169615,2210356,169615,Action
2210356_196811,2210356,196811,Action
2210872_23861,2210872,23861,Action
2212660_39944,2212660,39944,Action
2213122_211360,2213122,211360,Action
2213866_70782,2213866,70782,Action
2216295_94760,2216295,94760,Action
2216316_118604,2216316,118604,Action
2217717_193246,2217717,193246,Action
2222143_17382,2222143,17382,Action
2229656_123402,2229656,123402,Action
2232299_120635,2232299,120635,Action
2232980_17382,2232980,17382,Action
2234951_52776,2234951,52776,Action
2235378_297265,2235378,297265,Action
2236888_51827,2236888,51827,Action
2236888_296516,2236888,296516,Action
2240178_258118,2240178,258118,Action
2240566_213822,2240566,213822,Action
2244271_75298,2244271,75298,Action
2251547_200697,2251547,200697,Action
2252485_224478,2252485,224478,Action
2255035_157634,2255035,157634,Action
2255064_157634,2255064,157634,Action
2257033_151499,2257033,151499,Action
2257904_55402,2257904,55402,Action
2257905_55402,2257905,55402,Action
2258079_115814,2258079,115814,Action
2262464_279609,2262464,279609,Action
2263670_264169,2263670,264169,Action
2265452_247127,2265452,247127,Action
2266691_108594,2266691,108594,Action
2266691_303156,2266691,303156,Action
2269366_184135,2269366,184135,Action
2271870_115048,2271870,115048,Action
2273044_180080,2273044,180080,Action
2273048_120788,2273048,120788,Action
2288828_260322,2288828,260322,Action
2289279_128558,2289279,128558,Action
2290129_166840,2290129,166840,Action
2290136_55449,2290136,55449,Action
2290316_149249,2290316,149249,Action
2294518_184198,2294518,184198,Action
2295106_85889,2295106,85889,Action
2296667_88781,2296667,88781,Action
2304264_137348,2304264,137348,Action
2305587_44035,2305587,44035,Action
2305976_228322,2305976,228322,Action
2306194_285051,2306194,285051,Action
2306197_139740,2306197,139740,Action
2306201_65302,2306201,65302,Action
2308476_304410,2308476,304410,Action
2308730_17871,2308730,17871,Action
2309076_88781,2309076,88781,Action
2310236_255028,2310236,255028,Action
2312345_89882,2312345,89882,Action
2312692_297774,2312692,297774,Action
2312819_57090,2312819,57090,Action
2312897_145362,2312897,145362,Action
2313093_124171,2313093,124171,Action
2313464_225247,2313464,225247,Action
2316029_118604,2316029,118604,Action
2324123_260322,2324123,260322,Action
2327816_73412,2327816,73412,Action
2335038_103083,2335038,103083,Action
2338199_55449,2338199,55449,Action
2338707_209484,2338707,209484,Action
2338708_255028,2338708,255028,Action
2338711_106208,2338711,106208,Action
2338714_209484,2338714,209484,Action
2339477_67866,2339477,67866,Action
2344573_7366,2344573,7366,Action
2345742_151314,2345742,151314,Action
2345742_278493,2345742,278493,Action
2349163_77032,2349163,77032,Action
2349784_290097,2349784,290097,Action
2351693_227338,2351693,227338,Action
2351904_192338,2351904,192338,Action
2355625_60979,2355625,60979,Action
2356134_12251,2356134,12251,Action
2360108_16157,2360108,16157,Action
2360973_247236,2360973,247236,Action
2365078_75298,2365078,75298,Action
2365920_69549,2365920,69549,Action
2366246_70782,2366246,70782,Action
2366248_180294,2366248,180294,Action
2366403_28822,2366403,28822,Action
2366408_28822,2366408,28822,Action
2369317_89864,2369317,89864,Action
2370423_295459,2370423,295459,Action
2371602_199043,2371602,199043,Action
2371610_250665,2371610,250665,Action
2371611_182921,2371611,182921,Action
2371648_88284,2371648,88284,Action
2371651_42495,2371651,42495,Action
2371654_88284,2371654,88284,Action
2371705_182921,2371705,182921,Action
2371726_164445,2371726,164445,Action
2371778_164445,2371778,164445,Action
2371786_139740,2371786,139740,Action
2371787_172392,2371787,172392,Action
2372068_78050,2372068,78050,Action
2372328_201570,2372328,201570,Action
2372407_285051,2372407,285051,Action
2373434_131391,2373434,131391,Action
2375846_260603,2375846,260603,Action
2377877_64303,2377877,64303,Action
2378594_116640,2378594,116640,Action
2380932_124171,2380932,124171,Action
2384418_268114,2384418,268114,Action
2384520_70986,2384520,70986,Action
2384532_70986,2384532,70986,Action
2384532_158093,2384532,158093,Action
2384535_158093,2384535,158093,Action
2384536_91135,2384536,91135,Action
2385207_95767,2385207,95767,Action
2385772_68638,2385772,68638,Action
2390996_161227,2390996,161227,Action
2392001_180603,2392001,180603,Action
2395255_269416,2395255,269416,Action
2396366_244351,2396366,244351,Action
2396390_117873,2396390,117873,Action
2398900_17579,2398900,17579,Action
2398907_219877,2398907,219877,Action
2398908_97562,2398908,97562,Action
2401441_276654,2401441,276654,Action
2401724_242208,2401724,242208,Action
2401750_39629,2401750,39629,Action
2402234_159007,2402234,159007,Action
2404464_57090,2404464,57090,Action
2404464_180080,2404464,180080,Action
2405559_133692,2405559,133692,Action
2406475_58826,2406475,58826,Action
2406475_138254,2406475,138254,Action
2408096_198738,2408096,198738,Action
2408482_279609,2408482,279609,Action
2408762_73412,2408762,73412,Action
2409051_73412,2409051,73412,Action
2409402_46944,2409402,46944,Action
2412638_298652,2412638,298652,Action
2412945_82548,2412945,82548,Action
2413536_196811,2413536,196811,Action
2414225_151963,2414225,151963,Action
2414767_73318,2414767,73318,Action
2415946_106208,2415946,106208,Action
2421254_228909,2421254,228909,Action
2421914_86654,2421914,86654,Action
2422396_45542,2422396,45542,Action
2422818_255127,2422818,255127,Action
2422996_220729,2422996,220729,Action
2423002_218240,2423002,218240,Action
2423004_195164,2423004,195164,Action
2426553_4164,2426553,4164,Action
2427282_9273,2427282,9273,Action
2428934_28945,2428934,28945,Action
2432049_23861,2432049,23861,Action
2434561_89882,2434561,89882,Action
2434795_62087,2434795,62087,Action
2435881_70782,2435881,70782,Action
2437062_103109,2437062,103109,Action
2437320_281106,2437320,281106,Action
2437452_230426,2437452,230426,Action
2437630_116937,2437630,116937,Action
2438716_165862,2438716,165862,Action
2438827_75895,2438827,75895,Action
2439860_155392,2439860,155392,Action
2439860_167193,2439860,167193,Action
2441476_252439,2441476,252439,Action
2443509_180080,2443509,180080,Action
2443522_154406,2443522,154406,Action
2445287_25401,2445287,25401,Action
2445390_88781,2445390,88781,Action
2445390_261563,2445390,261563,Action
2445527_44035,2445527,44035,Action
2445832_271407,2445832,271407,Action
2445853_117774,2445853,117774,Action
2446494_12677,2446494,12677,Action
2446501_12677,2446501,12677,Action
2449747_170452,2449747,170452,Action
2452617_111350,2452617,111350,Action
2452768_8343,2452768,8343,Action
2452768_173879,2452768,173879,Action
2452768_205819,2452768,205819,Action
2452768_294974,2452768,294974,Action
2452768_303824,2452768,303824,Action
2453333_260322,2453333,260322,Action
2454636_265382,2454636,265382,Action
2456019_6523,2456019,6523,Action
2456181_123878,2456181,123878,Action
2456292_170389,2456292,170389,Action
2456586_109735,2456586,109735,Action
2456944_169847,2456944,169847,Action
2457188_39944,2457188,39944,Action
2457464_288437,2457464,288437,Action
2457464_288438,2457464,288438,Action
2458457_115990,2458457,115990,Action
2459369_253795,2459369,253795,Action
2460384_258859,2460384,258859,Action
2460410_302514,2460410,302514,Action
2461085_305750,2461085,305750,Action
