cast_num,movieid_actorid,actorid,movieid
2,0,9861.0,355.0
2,1,9854.0,370.0
1,2,9867.0,382.0
3,3,9867.0,380.0
3,4,9868.0,364.0
3,5,9868.0,376.0
3,6,9796.0,380.0
1,7,9862.0,377.0
2,8,9867.0,364.0
3,9,9852.0,370.0
2,10,9867.0,382.0
1,11,9865.0,364.0
1,12,9850.0,355.0
3,13,9845.0,364.0
2,14,9867.0,382.0
3,15,9862.0,297.0
1,16,9864.0,382.0
3,17,9844.0,370.0
2,18,9863.0,382.0
3,19,9867.0,364.0
2,20,9859.0,364.0
2,21,9863.0,375.0
2,22,9843.0,377.0
3,23,9867.0,364.0
3,24,9867.0,348.0
3,25,9863.0,382.0
1,26,9853.0,380.0
2,27,9863.0,323.0
3,28,9863.0,364.0
3,29,9839.0,364.0
3,30,9863.0,380.0
3,31,9846.0,364.0
3,32,9837.0,364.0
1,33,9863.0,382.0
2,34,9863.0,380.0
3,35,9842.0,382.0
2,36,9859.0,348.0
2,37,9832.0,380.0
0,38,9859.0,364.0
3,39,9851.0,364.0
2,40,9840.0,283.0
3,41,9829.0,379.0
3,42,9826.0,343.0
1,43,9825.0,364.0
1,44,9820.0,377.0
3,45,9818.0,348.0
1,46,9815.0,348.0
3,47,9835.0,283.0
3,48,9863.0,203.0
3,49,9834.0,348.0
3,50,9860.0,364.0
2,51,9855.0,380.0
1,52,9849.0,380.0
3,53,9813.0,359.0
2,54,9810.0,343.0
0,55,9805.0,380.0
3,56,9847.0,359.0
3,57,9838.0,323.0
3,58,9833.0,362.0
2,59,9831.0,382.0
0,60,9831.0,359.0
2,61,9831.0,382.0
2,62,9804.0,382.0
2,63,9841.0,380.0
2,64,9831.0,380.0
3,65,9802.0,359.0
3,66,9831.0,382.0
2,67,9834.0,382.0
2,68,9828.0,380.0
3,69,9800.0,370.0
3,70,9827.0,283.0
2,71,9827.0,359.0
3,72,9827.0,359.0
2,73,9799.0,362.0
3,74,9827.0,359.0
1,75,9827.0,380.0
3,76,9797.0,265.0
1,77,9836.0,359.0
3,78,9800.0,359.0
2,79,9792.0,380.0
1,80,9830.0,297.0
3,81,9791.0,380.0
2,82,9776.0,382.0
3,83,9827.0,359.0
2,84,9827.0,362.0
2,85,9827.0,359.0
3,86,9827.0,370.0
3,87,9827.0,375.0
3,88,9827.0,382.0
3,89,9772.0,382.0
3,90,9798.0,356.0
1,91,9793.0,382.0
3,92,9827.0,370.0
3,93,9789.0,348.0
3,94,9827.0,359.0
3,95,9827.0,382.0
1,96,9785.0,380.0
2,97,9819.0,359.0
3,98,9771.0,382.0
2,99,9817.0,297.0
3,100,9768.0,359.0
2,101,9782.0,370.0
3,102,9827.0,359.0
3,103,9781.0,359.0
3,104,9762.0,359.0
2,105,9827.0,359.0
3,106,9781.0,382.0
1,107,9775.0,343.0
3,108,9751.0,382.0
1,109,9775.0,382.0
0,110,9775.0,359.0
2,111,9827.0,382.0
3,112,9827.0,380.0
2,113,9827.0,375.0
2,114,9827.0,375.0
1,115,9775.0,375.0
2,116,9232.0,283.0
3,117,9827.0,359.0
3,118,9827.0,370.0
2,119,9827.0,359.0
3,120,9751.0,283.0
2,121,9812.0,355.0
1,122,9764.0,375.0
1,123,9747.0,287.0
3,124,9827.0,283.0
3,125,9747.0,297.0
2,126,9751.0,360.0
2,127,9827.0,382.0
1,128,9807.0,382.0
3,129,9807.0,362.0
1,130,9751.0,382.0
3,131,9743.0,359.0
2,132,9747.0,359.0
2,133,9745.0,380.0
2,134,9745.0,377.0
2,135,9827.0,380.0
2,136,9741.0,382.0
2,137,9741.0,382.0
1,138,9827.0,359.0
3,139,9795.0,359.0
3,140,9824.0,359.0
3,141,9745.0,382.0
1,142,9745.0,353.0
3,143,9824.0,370.0
3,144,9824.0,359.0
1,145,9788.0,287.0
2,146,9745.0,377.0
3,147,9745.0,343.0
1,148,9787.0,375.0
3,149,9770.0,379.0
3,150,9822.0,348.0
2,151,9760.0,343.0
2,152,9822.0,370.0
0,153,9744.0,265.0
1,154,9822.0,382.0
3,155,9740.0,359.0
3,156,9737.0,359.0
1,157,9809.0,370.0
3,158,9737.0,382.0
3,159,9710.0,380.0
3,160,9808.0,348.0
2,161,9763.0,375.0
1,162,9806.0,358.0
2,163,9705.0,348.0
2,164,9801.0,359.0
3,165,9790.0,382.0
3,166,9736.0,359.0
3,167,9735.0,359.0
0,168,9449.0,275.0
2,169,9759.0,359.0
1,170,9733.0,359.0
2,171,9790.0,380.0
2,172,9790.0,359.0
3,173,9730.0,359.0
3,174,9790.0,359.0
3,175,9790.0,382.0
2,176,9754.0,322.0
2,177,9784.0,382.0
2,178,9725.0,377.0
1,179,9780.0,359.0
3,180,9724.0,360.0
2,181,9754.0,356.0
2,182,9779.0,375.0
3,183,9724.0,359.0
3,184,9753.0,380.0
2,185,9721.0,359.0
3,186,9748.0,380.0
2,187,9739.0,348.0
0,188,9721.0,376.0
2,189,9700.0,283.0
2,190,9717.0,297.0
2,191,9778.0,380.0
3,192,9773.0,359.0
3,193,9769.0,382.0
3,194,9708.0,359.0
3,195,9767.0,380.0
3,196,9697.0,380.0
3,197,9693.0,380.0
3,198,9766.0,382.0
3,199,9734.0,380.0
3,200,9691.0,379.0
2,201,9690.0,382.0
2,202,9765.0,381.0
1,203,9728.0,323.0
3,204,9685.0,287.0
3,205,9761.0,380.0
3,206,9685.0,380.0
2,207,9757.0,381.0
3,208,9756.0,357.0
2,209,9684.0,380.0
2,210,9726.0,370.0
1,211,9726.0,381.0
3,212,9726.0,375.0
3,213,9755.0,381.0
3,214,9752.0,357.0
3,215,9749.0,357.0
2,216,9675.0,375.0
3,217,9749.0,357.0
3,218,9716.0,380.0
3,219,9856.0,380.0
0,220,9685.0,355.0
3,221,9679.0,283.0
3,222,9679.0,379.0
2,223,9678.0,381.0
3,224,9676.0,370.0
2,225,9676.0,375.0
2,226,9704.0,357.0
2,227,9749.0,358.0
1,228,9746.0,357.0
2,229,9666.0,380.0
2,230,9742.0,348.0
2,231,9729.0,362.0
3,232,9674.0,343.0
0,233,9670.0,381.0
0,234,9667.0,367.0
3,235,9658.0,375.0
2,236,9723.0,357.0
3,237,9723.0,357.0
2,238,9663.0,381.0
3,239,9722.0,357.0
3,240,9698.0,356.0
2,241,9696.0,356.0
3,242,9692.0,357.0
3,243,9662.0,376.0
3,244,9720.0,381.0
3,245,9720.0,357.0
3,246,9683.0,343.0
3,247,9720.0,370.0
3,248,9642.0,381.0
3,249,9718.0,357.0
2,250,9662.0,297.0
3,251,9715.0,380.0
1,252,9661.0,370.0
3,253,9660.0,357.0
2,254,9657.0,357.0
2,255,9671.0,367.0
3,256,9619.0,371.0
0,257,9652.0,371.0
3,258,9714.0,357.0
3,259,9714.0,371.0
3,260,9619.0,381.0
2,261,9713.0,379.0
3,262,9614.0,381.0
3,263,9664.0,362.0
2,264,9712.0,371.0
3,265,9709.0,381.0
3,266,9664.0,348.0
1,267,9707.0,371.0
1,268,9650.0,377.0
2,269,9649.0,376.0
2,270,9707.0,381.0
2,271,9707.0,357.0
2,272,9645.0,357.0
2,273,9614.0,381.0
3,274,9707.0,371.0
2,275,9637.0,377.0
3,276,9613.0,357.0
3,277,9608.0,381.0
3,278,9601.0,297.0
3,279,9758.0,371.0
1,280,9636.0,347.0
3,281,9588.0,371.0
3,282,9707.0,343.0
3,283,9707.0,357.0
3,284,9707.0,381.0
3,285,9707.0,381.0
3,286,9635.0,367.0
3,287,9659.0,297.0
3,288,9707.0,357.0
3,289,9588.0,357.0
1,290,9634.0,367.0
1,291,9707.0,357.0
3,292,9622.0,357.0
2,293,9707.0,357.0
3,294,9707.0,381.0
3,295,9588.0,381.0
3,296,9588.0,357.0
2,297,9588.0,360.0
3,298,9702.0,362.0
3,299,9695.0,381.0
3,300,9695.0,357.0
3,301,9615.0,377.0
3,302,9719.0,381.0
1,303,9611.0,357.0
3,304,9577.0,357.0
3,305,9703.0,381.0
3,306,9611.0,379.0
2,307,9689.0,381.0
3,308,9682.0,343.0
3,309,9577.0,283.0
3,310,9217.0,283.0
2,311,9682.0,381.0
3,312,9577.0,371.0
0,313,9681.0,321.0
2,314,9611.0,357.0
2,315,9680.0,381.0
2,316,9672.0,371.0
2,317,9577.0,287.0
3,318,9668.0,375.0
3,319,9653.0,343.0
3,320,9611.0,357.0
3,321,9651.0,379.0
2,322,9647.0,381.0
3,323,9611.0,370.0
1,324,9646.0,381.0
2,325,9646.0,357.0
1,326,9611.0,381.0
3,327,9659.0,356.0
2,328,9643.0,379.0
3,329,9609.0,357.0
3,330,9607.0,357.0
0,331,9604.0,371.0
2,332,9603.0,367.0
2,333,9568.0,283.0
1,334,9641.0,357.0
3,335,9567.0,381.0
3,336,9599.0,357.0
2,337,9641.0,381.0
1,338,9598.0,360.0
3,339,9641.0,381.0
3,340,9567.0,381.0
2,341,9594.0,351.0
3,342,9654.0,357.0
1,343,9631.0,377.0
2,344,9565.0,357.0
2,345,9640.0,371.0
0,346,9587.0,370.0
0,347,9823.0,371.0
2,348,9638.0,379.0
3,349,9561.0,371.0
3,350,9630.0,356.0
3,351,9584.0,370.0
3,352,9638.0,371.0
3,353,9584.0,357.0
3,354,9633.0,357.0
2,355,9632.0,371.0
3,356,9625.0,371.0
3,357,9584.0,360.0
3,358,9656.0,323.0
2,359,9572.0,370.0
3,360,9564.0,321.0
3,361,9629.0,356.0
3,362,9549.0,357.0
3,363,9629.0,357.0
2,364,9624.0,379.0
3,365,9629.0,381.0
2,366,9545.0,357.0
3,367,9549.0,323.0
2,368,9549.0,362.0
2,369,9534.0,357.0
3,370,9547.0,348.0
2,371,9629.0,371.0
2,372,9627.0,381.0
1,373,9621.0,375.0
2,374,9621.0,353.0
3,375,9655.0,357.0
2,376,9627.0,362.0
3,377,9626.0,381.0
3,378,9538.0,348.0
3,379,9621.0,356.0
1,380,9623.0,375.0
3,381,9536.0,357.0
2,382,9536.0,375.0
1,383,9530.0,378.0
1,384,9526.0,378.0
3,385,9618.0,375.0
3,386,9701.0,378.0
2,387,9529.0,358.0
3,388,9528.0,343.0
1,389,9621.0,357.0
3,390,9517.0,370.0
3,391,9523.0,297.0
1,392,9616.0,371.0
3,393,9620.0,376.0
2,394,9510.0,287.0
0,395,9508.0,367.0
1,396,9522.0,376.0
1,397,9605.0,378.0
3,398,9605.0,371.0
3,399,9605.0,371.0
2,400,9605.0,297.0
2,401,9521.0,378.0
3,402,9605.0,357.0
3,403,9509.0,376.0
2,404,9509.0,371.0
3,405,9493.0,367.0
3,406,9617.0,379.0
3,407,9486.0,371.0
3,408,9484.0,356.0
3,409,9509.0,283.0
2,410,9481.0,370.0
3,411,9602.0,357.0
3,412,9481.0,354.0
2,413,9509.0,371.0
2,414,9602.0,372.0
3,415,9481.0,354.0
2,416,9509.0,354.0
2,417,9479.0,321.0
1,418,9477.0,354.0
3,419,9473.0,354.0
3,420,9505.0,379.0
2,421,9464.0,293.0
2,422,9600.0,354.0
2,423,9497.0,343.0
2,424,9496.0,371.0
2,425,9688.0,371.0
0,426,9464.0,354.0
3,427,9591.0,378.0
2,428,9591.0,367.0
3,429,9591.0,354.0
2,430,9489.0,283.0
3,431,9461.0,358.0
3,432,9461.0,375.0
1,433,9596.0,354.0
2,434,9596.0,378.0
3,435,9591.0,378.0
2,436,9591.0,354.0
0,437,9460.0,371.0
2,438,9596.0,371.0
3,439,9460.0,371.0
3,440,9596.0,379.0
3,441,9596.0,378.0
2,442,9595.0,354.0
0,443,9555.0,378.0
2,444,9459.0,343.0
1,445,9591.0,355.0
1,446,9458.0,351.0
3,447,9455.0,354.0
2,448,9593.0,43.0
2,449,9592.0,379.0
1,450,9591.0,378.0
1,451,9589.0,354.0
3,452,9455.0,354.0
2,453,9488.0,370.0
2,454,9586.0,371.0
