rating,userid_movieid,movieid,userid
3,0,343.0,554.0
2,1,364.0,596.0
5,2,377.0,576.0
4,3,377.0,478.0
3,4,364.0,587.0
5,5,287.0,595.0
3,6,359.0,427.0
5,7,359.0,595.0
4,8,370.0,584.0
3,9,293.0,493.0
4,10,380.0,575.0
3,11,347.0,563.0
2,12,348.0,568.0
3,13,377.0,596.0
4,14,382.0,575.0
4,15,370.0,575.0
4,16,343.0,601.0
5,17,380.0,596.0
5,18,372.0,575.0
4,19,283.0,552.0
4,20,379.0,555.0
2,21,343.0,595.0
5,22,359.0,555.0
4,23,357.0,595.0
3,24,357.0,599.0
1,25,312.0,314.0
4,26,357.0,544.0
5,27,293.0,572.0
2,28,375.0,582.0
3,29,343.0,592.0
4,30,357.0,554.0
4,31,382.0,599.0
4,32,370.0,572.0
1,33,360.0,595.0
5,34,357.0,577.0
3,35,43.0,581.0
4,36,380.0,601.0
3,37,370.0,575.0
3,38,357.0,592.0
3,39,362.0,555.0
4,40,326.0,568.0
5,41,377.0,75.0
3,42,357.0,599.0
2,43,357.0,568.0
5,44,371.0,555.0
5,45,377.0,584.0
2,46,382.0,601.0
4,47,370.0,436.0
5,48,382.0,576.0
4,49,357.0,592.0
3,50,377.0,571.0
5,51,355.0,575.0
5,52,370.0,571.0
3,53,287.0,599.0
4,54,353.0,582.0
3,55,326.0,576.0
3,56,343.0,540.0
5,57,370.0,596.0
2,58,357.0,575.0
3,59,382.0,568.0
2,60,382.0,573.0
2,61,370.0,595.0
4,62,357.0,548.0
3,63,382.0,110.0
5,64,357.0,595.0
3,65,360.0,574.0
5,66,357.0,595.0
2,67,382.0,555.0
5,68,357.0,541.0
4,69,357.0,430.0
3,70,370.0,599.0
4,71,341.0,595.0
4,72,379.0,595.0
5,73,293.0,524.0
3,74,371.0,580.0
3,75,357.0,575.0
3,76,357.0,599.0
5,77,357.0,595.0
5,78,343.0,548.0
4,79,357.0,596.0
2,80,382.0,576.0
4,81,382.0,576.0
5,82,370.0,587.0
2,83,382.0,587.0
4,84,382.0,568.0
4,85,371.0,582.0
5,86,377.0,572.0
5,87,370.0,568.0
3,88,382.0,544.0
5,89,370.0,581.0
2,90,370.0,592.0
4,91,376.0,587.0
3,92,382.0,599.0
5,93,357.0,572.0
5,94,357.0,480.0
2,95,357.0,595.0
2,96,357.0,575.0
2,97,371.0,574.0
3,98,360.0,597.0
3,99,382.0,596.0
3,100,207.0,599.0
4,101,357.0,595.0
5,102,362.0,596.0
4,103,357.0,479.0
5,104,377.0,571.0
3,105,287.0,317.0
4,106,360.0,568.0
4,107,370.0,485.0
5,108,293.0,587.0
2,109,371.0,524.0
3,110,357.0,592.0
4,111,370.0,601.0
4,112,375.0,552.0
2,113,357.0,575.0
4,114,382.0,600.0
2,115,357.0,536.0
5,116,358.0,576.0
3,117,207.0,584.0
3,118,357.0,595.0
3,119,357.0,595.0
4,120,283.0,575.0
2,121,362.0,575.0
4,122,370.0,540.0
4,123,357.0,314.0
3,124,357.0,597.0
4,125,379.0,568.0
5,126,357.0,599.0
4,127,375.0,552.0
2,128,370.0,568.0
4,129,360.0,485.0
3,130,371.0,601.0
